date,draw1,draw2,draw3,draw4,draw5,powerball
2018-02-28 00:00:00 -0500,12,30,59,65,69,16
2018-02-24 00:00:00 -0500,24,25,38,62,63,6
2018-02-21 00:00:00 -0500,7,15,31,34,36,8
2018-02-17 00:00:00 -0500,13,26,39,44,62,2
2018-02-14 00:00:00 -0500,37,39,44,46,69,26
2018-02-10 00:00:00 -0500,1,13,27,41,59,20
2018-02-07 00:00:00 -0500,23,34,35,40,47,10
2018-02-03 00:00:00 -0500,15,23,27,48,53,6
2018-01-31 00:00:00 -0500,4,7,14,46,59,22
2018-01-27 00:00:00 -0500,17,21,26,47,54,7
2018-01-24 00:00:00 -0500,5,9,11,33,64,21
2018-01-20 00:00:00 -0500,26,28,47,49,58,3
2018-01-17 00:00:00 -0500,3,33,37,51,57,21
2018-01-13 00:00:00 -0500,14,25,35,58,69,24
2018-01-10 00:00:00 -0500,7,24,33,49,50,4
2018-01-06 00:00:00 -0500,12,29,30,33,61,26
2018-01-03 00:00:00 -0500,2,18,37,39,42,12
2017-12-30 00:00:00 -0500,28,36,41,51,58,24
2017-12-27 00:00:00 -0500,3,9,16,56,60,3
2017-12-23 00:00:00 -0500,1,3,13,15,44,25
2017-12-20 00:00:00 -0500,1,20,61,64,69,20
2017-12-16 00:00:00 -0500,9,35,37,50,63,11
2017-12-13 00:00:00 -0500,2,24,28,51,58,7
2017-12-09 00:00:00 -0500,25,36,37,55,60,6
2017-12-06 00:00:00 -0500,19,20,50,55,62,9
2017-12-02 00:00:00 -0500,28,30,32,36,58,6
2017-11-29 00:00:00 -0500,24,26,28,59,63,16
2017-11-25 00:00:00 -0500,8,13,27,53,54,4
2017-11-22 00:00:00 -0500,35,37,46,51,61,13
2017-11-18 00:00:00 -0500,17,28,31,32,39,26
2017-11-15 00:00:00 -0500,23,32,44,48,50,25
2017-11-11 00:00:00 -0500,4,6,16,30,56,18
2017-11-08 00:00:00 -0500,12,14,20,21,34,22
2017-11-04 00:00:00 -0400,12,14,26,48,51,13
2017-11-01 00:00:00 -0400,3,6,19,26,44,1
2017-10-28 00:00:00 -0400,27,35,38,57,66,10
2017-10-25 00:00:00 -0400,18,22,29,54,57,8
2017-10-21 00:00:00 -0400,14,41,42,45,69,4
2017-10-18 00:00:00 -0400,30,49,54,66,69,8
2017-10-14 00:00:00 -0400,32,37,56,66,69,11
2017-10-11 00:00:00 -0400,1,3,13,19,69,23
2017-10-07 00:00:00 -0400,10,49,61,63,65,7
2017-10-04 00:00:00 -0400,22,23,62,63,66,24
2017-09-30 00:00:00 -0400,8,12,25,41,64,15
2017-09-27 00:00:00 -0400,8,10,21,23,25,22
2017-09-23 00:00:00 -0400,24,45,55,56,57,19
2017-09-20 00:00:00 -0400,39,48,53,67,68,26
2017-09-16 00:00:00 -0400,17,18,24,25,31,24
2017-09-13 00:00:00 -0400,17,24,35,57,63,19
2017-09-09 00:00:00 -0400,6,20,29,57,59,22
2017-09-06 00:00:00 -0400,8,14,32,58,67,17
2017-09-02 00:00:00 -0400,6,21,41,52,62,26
2017-08-30 00:00:00 -0400,19,28,43,67,69,7
2017-08-26 00:00:00 -0400,7,15,32,38,66,15
2017-08-23 00:00:00 -0400,6,7,16,23,26,4
2017-08-19 00:00:00 -0400,17,19,39,43,68,13
2017-08-16 00:00:00 -0400,9,15,43,60,64,4
2017-08-12 00:00:00 -0400,20,24,26,35,49,19
2017-08-09 00:00:00 -0400,12,30,36,47,62,9
2017-08-05 00:00:00 -0400,11,21,28,33,45,11
2017-08-02 00:00:00 -0400,1,16,54,63,69,18
2017-07-29 00:00:00 -0400,1,28,40,45,48,12
2017-07-26 00:00:00 -0400,7,19,21,42,69,12
2017-07-22 00:00:00 -0400,5,32,44,53,60,9
2017-07-19 00:00:00 -0400,50,51,59,61,63,4
2017-07-15 00:00:00 -0400,9,40,63,64,66,17
2017-07-12 00:00:00 -0400,1,2,18,23,61,9
2017-07-08 00:00:00 -0400,8,10,29,40,59,26
2017-07-05 00:00:00 -0400,4,9,16,54,68,21
2017-07-01 00:00:00 -0400,19,42,45,48,53,16
2017-06-28 00:00:00 -0400,29,37,46,53,68,8
2017-06-24 00:00:00 -0400,10,22,32,36,58,10
2017-06-21 00:00:00 -0400,14,46,61,65,68,13
2017-06-17 00:00:00 -0400,10,13,32,53,62,21
2017-06-14 00:00:00 -0400,5,22,43,57,63,24
2017-06-10 00:00:00 -0400,20,26,32,38,58,3
2017-06-07 00:00:00 -0400,5,21,57,66,69,13
2017-06-03 00:00:00 -0400,3,9,21,41,54,25
2017-05-31 00:00:00 -0400,4,33,39,46,60,6
2017-05-27 00:00:00 -0400,5,10,28,55,67,9
2017-05-24 00:00:00 -0400,28,32,33,38,62,15
2017-05-20 00:00:00 -0400,5,22,45,47,54,3
2017-05-17 00:00:00 -0400,4,11,39,45,48,9
2017-05-13 00:00:00 -0400,17,20,32,63,68,19
2017-05-10 00:00:00 -0400,29,31,46,56,62,8
2017-05-06 00:00:00 -0400,11,21,31,41,59,21
2017-05-03 00:00:00 -0400,17,18,49,59,66,9
2017-04-29 00:00:00 -0400,22,23,24,45,62,5
2017-04-26 00:00:00 -0400,1,15,18,26,51,26
2017-04-22 00:00:00 -0400,21,39,41,48,63,6
2017-04-19 00:00:00 -0400,1,19,37,40,52,15
2017-04-15 00:00:00 -0400,5,22,26,45,61,13
2017-04-12 00:00:00 -0400,8,14,61,63,68,24
2017-04-08 00:00:00 -0400,23,36,51,53,60,15
2017-04-05 00:00:00 -0400,8,20,46,53,54,13
2017-04-01 00:00:00 -0400,9,32,36,44,65,1
2017-03-29 00:00:00 -0400,8,15,31,36,62,11
2017-03-25 00:00:00 -0400,18,31,32,45,48,16
2017-03-22 00:00:00 -0400,2,9,27,29,42,9
2017-03-18 00:00:00 -0400,13,25,44,54,67,5
2017-03-15 00:00:00 -0400,16,30,41,48,53,16
2017-03-11 00:00:00 -0500,1,26,41,50,57,11
